Kod;Dw [mm];Dz [mm];E [mm];B [mm];C [kN];C0 [kN];n max [obr/min];elementy toczne
N203;17,00;40,00;35,10;12,00;17,20;14,30;22000,00;wałeczki
N303;17,00;47,00;40,20;14,00;24,60;20,40;20000,00;wałeczki
N204;20,00;47,00;41,50;14,00;25,10;22,00;19000,00;wałeczki
N304;20,00;52,00;45,50;15,00;35,50;26,00;18000,00;wałeczki
N205;25,00;52,00;46,50;15,00;28,60;27,00;16000,00;wałeczki
N305;25,00;62,00;54,00;17,00;46,50;36,50;15000,00;wałeczki
N206;30,00;62,00;55,50;16,00;44,00;36,50;14000,00;wałeczki
N306;30,00;72,00;62,50;19,00;58,50;48,00;12000,00;wałeczki
N207;35,00;72,00;64,00;17,00;56,00;48,00;12000,00;wałeczki
N307;35,00;80,00;70,20;21,00;75,00;63,00;11000,00;wałeczki
N208;40,00;80,00;71,50;18,00;62,00;53,00;11000,00;wałeczki
N308;40,00;90,00;80,00;23,00;93,00;78,00;9500,00;wałeczki
N209;45,00;85,00;76,50;19,00;69,50;64,00;9500,00;wałeczki
N309;45,00;100,00;88,50;25,00;112,00;100,00;8500,00;wałeczki
N210;50,00;90,00;81,50;20,00;73,50;69,50;9000,00;wałeczki
N310;50,00;110,00;97,00;27,00;127,00;112,00;8000,00;wałeczki
N211;55,00;100,00;90,00;21,00;96,50;95,00;8000,00;wałeczki
N311;55,00;120,00;106,50;29,00;156,00;143,00;7000,00;wałeczki
N212;60,00;110,00;100,00;22,00;108,00;102,00;7500,00;wałeczki
N312;60,00;130,00;115,00;31,00;173,00;160,00;6700,00;wałeczki
N213;65,00;120,00;108,50;23,00;122,00;118,00;6700,00;wałeczki
N313;65,00;140,00;124,50;33,00;212,00;196,00;6000,00;wałeczki
N214;70,00;125,00;113,50;24,00;137,00;137,00;6300,00;wałeczki
N314;70,00;150,00;133,00;35,00;236,00;228,00;5600,00;wałeczki
N215;75,00;130,00;118,50;25,00;150,00;156,00;6000,00;wałeczki
N315;75,00;160,00;143,00;37,00;280,00;265,00;5300,00;wałeczki
N216;80,00;140,00;127,30;26,00;160,00;166,00;5600,00;wałeczki
N316;80,00;170,00;151,00;39,00;300,00;290,00;5000,00;wałeczki
N217;85,00;150,00;136,50;28,00;190,00;200,00;5300,00;wałeczki
N317;85,00;180,00;160,00;41,00;340,00;335,00;4800,00;wałeczki
N218;90,00;160,00;145,00;30,00;208,00;220,00;5000,00;wałeczki
N318;90,00;190,00;169,50;43,00;365,00;360,00;4500,00;wałeczki
N219;95,00;170,00;154,50;32,00;255,00;265,00;4800,00;wałeczki
N319;95,00;200,00;177,50;45,00;390,00;390,00;4300,00;wałeczki
N220;100,00;180,00;163,00;34,00;285,00;305,00;4500,00;wałeczki
N320;100,00;215,00;191,00;47,00;450,00;440,00;3800,00;wałeczki
