kod;d [mm];D [mm];B [mm];C [kN];C0 [kN];n max [obr/min]
NJ202;15;35;11;12,5;10,2;26000
NJ203;17;40;12;20;14,3;22000
NJ2203;17;40;16;27,5;21,6;22000
NJ303;17;47;14;28,5;20,4;20000
NJ204;20;47;14;28,5;22;19000
NJ2204;20;47;18;34,5;27,5;19000
NJ2304;20;52;21;47,5;38;18000
NJ304;20;52;15;35,5;26;18000
NJ205;25;52;15;32,5;27;16000
NJ205;25;52;15;32,5;27;16000
NJ205;25;52;15;32,5;27;16000
NJ2205;25;52;18;39;34;16000
NJ2305;25;62;24;64;55;15000
NJ305;25;62;17;46,5;36,5;15000
NJ206;30;62;16;44;36,5;14000
NJ206;30;62;16;44;36,5;14000
NJ2206;30;62;20;55;49;14000
NJ2206;30;62;20;55;49;14000
NJ2306;30;72;27;83;75;12000
NJ306;30;72;19;58,5;48;12000
NJ306;30;72;19;58,5;48;12000
NJ207;35;72;17;56;48;12000
NJ207;35;72;17;56;48;12000
NJ2207;35;72;23;69,5;63;12000
NJ2207;35;72;23;69,5;63;12000
NJ2307;35;80;31;106;98;11000
NJ307;35;80;21;75;63;11000
NJ307;35;80;21;75;63;11000
NJ307;35;80;21;75;63;11000
NJ208;40;80;18;62;53;11000
NJ208;40;80;18;62;53;11000
NJ208;40;80;18;62;53;11000
NJ2208;40;80;23;81,5;75;11000
NJ2208;40;80;23;81,5;75;11000
NJ2208;40;80;23;81,5;75;11000
NJ2308;40;90;33;129;120;9500
NJ2308;40;90;33;129;120;15000
NJ2308;40;90;33;129;120;9500
NJ308;40;90;23;93;78;9500
NJ308;40;90;23;93;78;9500
NJ308;40;90;23;93;78;9500
NJ1009;45;75;16;52;52;11000
NJ209;45;85;19;69,5;64;9500
NJ2209;45;85;23;85;81,5;9500
NJ2209;45;85;23;85;81,5;9500
NJ2309;45;100;36;160;153;8500
NJ309;45;100;25;112;100;8500
NJ309;45;100;25;112;100;8500
NJ210;50;90;20;73,5;69,5;9000
NJ210;50;90;20;73,5;69,5;9000
NJ2210;50;90;23;90;88;9000
NJ2210;50;90;23;90;88;9000
NJ2310;50;110;40;186;186;8000
NJ310;50;110;27;127;112;8000
NJ310;50;110;27;127;112;8000
NJ310;50;110;27;127;112;8000
